Word,appearsInR,In R,appearsInPG,In PG,Difference
prints,114,22%,49,15%,7%
jams,189,36%,97,29%,7%
peter,128,25%,58,17%,7%
whatever,464,89%,273,82%,7%
leg,381,73%,220,66%,7%
concrete,173,33%,87,26%,7%
city,423,82%,247,74%,7%
serial,65,13%,18,5%,7%
hi,387,75%,224,67%,7%
taped,168,32%,84,25%,7%
twisted,185,36%,95,29%,7%
bastards,124,24%,56,17%,7%
bout,174,34%,88,27%,7%
typed,63,12%,17,5%,7%
buddy,224,43%,120,36%,7%
blankly,152,29%,74,22%,7%
swig,116,22%,51,15%,7%
kid,413,80%,241,73%,7%
checking,341,66%,195,59%,7%
probably,458,88%,270,81%,7%
revolver,100,19%,41,12%,7%
plastic,311,60%,176,53%,7%
manager,200,39%,105,32%,7%
somethin,114,22%,50,15%,7%
figured,250,48%,137,41%,7%
criminal,153,29%,75,23%,7%
previous,153,29%,75,23%,7%
shaved,92,18%,36,11%,7%
tellin,70,13%,22,7%,7%
kids,406,78%,237,71%,7%
paid,273,53%,152,46%,7%
newspaper,287,55%,161,48%,7%
breast,176,34%,90,27%,7%
awake,312,60%,177,53%,7%
blade,201,39%,106,32%,7%
saint,90,17%,35,11%,7%
younger,265,51%,147,44%,7%
rap,93,18%,37,11%,7%
fifties,118,23%,53,16%,7%
scared,390,75%,227,68%,7%
shooting,318,61%,181,55%,7%
wound,257,50%,142,43%,7%
scalp,63,12%,18,5%,7%
fired,224,43%,121,36%,7%
sake,249,48%,137,41%,7%
backyard,127,24%,59,18%,7%
attorney,116,22%,52,16%,7%
warrant,80,15%,29,9%,7%
gettin,130,25%,61,18%,7%
weed,72,14%,24,7%,7%
vehicle,197,38%,104,31%,7%
border,86,17%,33,10%,7%
dumb,222,43%,120,36%,7%
wired,111,21%,49,15%,7%
pimp,50,10%,10,3%,7%
carpet,175,34%,90,27%,7%
player,225,43%,122,37%,7%
washes,153,29%,76,23%,7%
deals,92,18%,37,11%,7%
drinking,353,68%,204,61%,7%
pill,95,18%,39,12%,7%
em,367,71%,213,64%,7%
pools,84,16%,32,10%,7%
particular,220,42%,119,36%,7%
brings,406,78%,238,72%,7%
automatic,159,31%,80,24%,7%
marijuana,48,9%,9,3%,7%
coulda,73,14%,25,8%,7%
stockings,62,12%,18,5%,7%
conversation,384,74%,224,67%,7%
insane,212,41%,114,34%,7%
released,126,24%,59,18%,7%
saturday,151,29%,75,23%,7%
fat,312,60%,178,54%,7%
severed,90,17%,36,11%,6%
tragedy,90,17%,36,11%,6%
older,362,70%,210,63%,6%
splattered,79,15%,29,9%,6%
mexican,107,21%,47,14%,6%
string,185,36%,97,29%,6%
cruises,99,19%,42,13%,6%
beats,235,45%,129,39%,6%
mon,235,45%,129,39%,6%
junkies,38,7%,3,1%,6%
account,163,31%,83,25%,6%
suck,163,31%,83,25%,6%
jeez,77,15%,28,8%,6%
pissing,77,15%,28,8%,6%
outta,202,39%,108,33%,6%
blood,463,89%,275,83%,6%
penis,69,13%,23,7%,6%
vodka,94,18%,39,12%,6%
gunshots,83,16%,32,10%,6%
glasses,355,68%,206,62%,6%
lotta,72,14%,25,8%,6%
unbuttons,72,14%,25,8%,6%
forearm,97,19%,41,12%,6%
shooter,61,12%,18,5%,6%
professional,197,38%,105,32%,6%
rid,197,38%,105,32%,6%
register,161,31%,82,25%,6%
joke,311,60%,178,54%,6%
strokes,189,36%,100,30%,6%
guitar,103,20%,45,14%,6%
hesitate,92,18%,38,11%,6%
skull,192,37%,102,31%,6%
dull,131,25%,63,19%,6%
money,453,87%,269,81%,6%
car,478,92%,285,86%,6%
guns,295,57%,168,51%,6%
passenger,309,60%,177,53%,6%
items,162,31%,83,25%,6%
sidewalk,262,50%,147,44%,6%
liked,251,48%,140,42%,6%
bottle,412,79%,243,73%,6%
wire,265,51%,149,45%,6%
plays,401,77%,236,71%,6%
television,254,49%,142,43%,6%
ammo,82,16%,32,10%,6%
sweating,218,42%,119,36%,6%
federal,107,21%,48,14%,6%
sweatshirt,71,14%,25,8%,6%
cool,368,71%,215,65%,6%
fluorescent,85,16%,34,10%,6%
beers,110,21%,50,15%,6%
fairly,110,21%,50,15%,6%
nail,160,31%,82,25%,6%
witness,160,31%,82,25%,6%
bitches,74,14%,27,8%,6%
chicks,74,14%,27,8%,6%
anyway,446,86%,265,80%,6%
area,446,86%,265,80%,6%
arguing,138,27%,68,20%,6%
job,460,89%,274,83%,6%
human,349,67%,203,61%,6%
pillow,202,39%,109,33%,6%
slug,91,18%,38,11%,6%
california,141,27%,70,21%,6%
newspapers,130,25%,63,19%,6%
actors,69,13%,24,7%,6%
cabinets,94,18%,40,12%,6%
kills,169,33%,88,27%,6%
crazed,97,19%,42,13%,6%
knock,394,76%,232,70%,6%
issue,172,33%,90,27%,6%
porn,50,10%,12,4%,6%
damage,186,36%,99,30%,6%
ripped,211,41%,115,35%,6%
carry,347,67%,202,61%,6%
woke,125,24%,60,18%,6%
loser,103,20%,46,14%,6%
cries,264,51%,149,45%,6%
marks,178,34%,94,28%,6%
cowboy,117,23%,55,17%,6%
lover,117,23%,55,17%,6%
handling,81,16%,32,10%,6%
hire,106,20%,48,14%,6%
exhales,131,25%,64,19%,6%
dealer,95,18%,41,12%,6%
someplace,134,26%,66,20%,6%
tattoos,73,14%,27,8%,6%
problems,248,48%,139,42%,6%
chest,434,84%,258,78%,6%
twenty,459,88%,274,83%,6%
prison,212,41%,116,35%,6%
scars,101,19%,45,14%,6%
radio,373,72%,219,66%,6%
skirt,176,34%,93,28%,6%
clothed,90,17%,38,11%,6%
45,362,70%,212,64%,6%
neon,140,27%,70,21%,6%
yelling,276,53%,157,47%,6%
undressing,54,10%,15,5%,6%
tire,129,25%,63,19%,6%
shove,154,30%,79,24%,6%
cassette,68,13%,24,7%,6%
takin,68,13%,24,7%,6%
firm,182,35%,97,29%,6%
dammit,96,18%,42,13%,6%
card,357,69%,209,63%,6%
baseball,185,36%,99,30%,6%
casually,235,45%,131,39%,6%
nightclub,63,12%,21,6%,6%
slacks,63,12%,21,6%,6%
nah,138,27%,69,21%,6%
brains,163,31%,85,26%,6%
kidding,299,58%,172,52%,6%
wears,349,67%,204,61%,6%
restaurant,263,51%,149,45%,6%
dicks,41,8%,7,2%,6%
ex,202,39%,110,33%,6%
sink,338,65%,197,59%,6%
cuffs,116,22%,55,17%,6%
waitin,55,11%,16,5%,6%
bent,180,35%,96,29%,6%
taps,294,57%,169,51%,6%
easy,455,88%,272,82%,6%
drawers,136,26%,68,20%,6%
eighteen,161,31%,84,25%,6%
killers,75,14%,29,9%,6%
cept,39,8%,6,2%,6%
woulda,64,12%,22,7%,6%
owns,114,22%,54,16%,6%
sheriff,78,15%,31,9%,6%
lousy,103,20%,47,14%,6%
dude,128,25%,63,19%,6%
twenties,128,25%,63,19%,6%
wiping,178,34%,95,29%,6%
goddamned,67,13%,24,7%,6%
busted,142,27%,72,22%,6%
emptied,56,11%,17,5%,6%
visit,217,42%,120,36%,6%
drinks,353,68%,207,62%,6%
interviewed,70,13%,26,8%,6%
sedan,95,18%,42,13%,6%
collect,145,28%,74,22%,6%
unwraps,84,16%,35,11%,6%
leather,284,55%,163,49%,6%
police,384,74%,227,68%,6%
arrest,162,31%,85,26%,6%
spattered,51,10%,14,4%,6%
stash,51,10%,14,4%,6%
fridge,126,24%,62,19%,6%
bare,312,60%,181,55%,6%
contents,201,39%,110,33%,6%
jerking,90,17%,39,12%,6%
tissue,115,22%,55,17%,6%
